,wine_type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,free_SO2_ratio,alcohol_surgar_ratio,sugar_acidity_ratio,fixed_acidity_ratio
2310,white,9.6,0.23,0.4,1.5,0.044,19.0,135.0,0.9937,2.96,0.49,10.9,5,14.074074074074074,726.6666666666666,15.25940996948118,97.66022380467955
2311,white,6.3,0.55,0.45,13.0,0.047,33.0,182.0,0.9974,3.2,0.46,9.2,6,18.13186813186813,70.76923076923076,189.78102189781023,91.97080291970804
2312,white,6.5,0.115,0.29,1.95,0.038,73.0,166.0,0.989,3.12,0.25,12.9,7,43.97590361445784,661.5384615384615,29.47845804988662,98.2615268329554
2313,white,6.4,0.125,0.29,5.85,0.042,24.0,99.0,0.992,3.23,0.32,12.0,7,24.24242424242424,205.12820512820514,89.6551724137931,98.08429118773945
2314,white,5.7,0.1,0.27,1.3,0.047,21.0,100.0,0.9928,3.27,0.46,9.5,5,21.0,730.7692307692307,22.413793103448278,98.27586206896552
2315,white,7.9,0.25,0.29,5.3,0.031,33.0,117.0,0.9918,3.06,0.32,11.8,7,28.205128205128204,222.64150943396228,65.03067484662576,96.93251533742331
2316,white,6.9,0.2,0.28,1.2,0.048,36.0,159.0,0.9936,3.19,0.43,9.1,6,22.641509433962263,758.3333333333334,16.901408450704224,97.18309859154928
2317,white,6.9,0.23,0.34,4.0,0.047,24.0,128.0,0.9944,3.2,0.52,9.7,6,18.75,242.49999999999997,56.10098176718092,96.77419354838709
2318,white,6.8,0.39,0.31,14.35,0.043,28.0,162.0,0.9988,3.17,0.54,9.1,5,17.28395061728395,63.41463414634146,199.58275382475662,94.57579972183589
2319,white,8.7,0.22,0.42,2.3,0.053,27.0,114.0,0.994,2.99,0.43,10.0,5,23.68421052631579,434.7826086956522,25.784753363228695,97.5336322869955
2320,white,7.4,0.41,0.34,4.7,0.042,19.0,127.0,0.9953,3.25,0.42,10.4,5,14.960629921259844,221.27659574468083,60.17925736235595,94.75032010243277
2321,white,6.7,0.25,0.34,12.85,0.048,30.0,161.0,0.9986,3.44,0.47,9.5,6,18.633540372670808,73.92996108949417,184.89208633093526,96.40287769784173
2322,white,6.0,0.26,0.42,5.2,0.027,70.0,178.0,0.9914,3.4,0.4,12.3,8,39.325842696629216,236.53846153846152,83.06709265175719,95.84664536741214
2323,white,6.1,0.31,0.37,8.4,0.031,70.0,170.0,0.9934,3.42,0.4,11.7,8,41.1764705882353,139.28571428571428,131.0452418096724,95.1638065522621
2324,white,9.2,0.28,0.46,3.2,0.058,39.0,133.0,0.996,3.14,0.58,9.5,5,29.32330827067669,296.875,33.75527426160338,97.0464135021097
2325,white,9.0,0.31,0.49,6.9,0.034,26.0,91.0,0.9937,2.99,0.34,11.5,5,28.571428571428573,166.66666666666666,74.11385606874329,96.67024704618689
2326,white,8.5,0.16,0.33,1.0,0.076,17.0,57.0,0.9921,3.14,0.46,10.6,6,29.82456140350877,1060.0,11.547344110854503,98.15242494226328
2327,white,9.3,0.34,0.49,7.3,0.052,30.0,146.0,0.998,3.17,0.61,10.2,5,20.54794520547945,139.72602739726025,75.72614107883817,96.47302904564316
2328,white,7.2,0.24,0.3,1.6,0.048,27.0,131.0,0.9933,3.25,0.45,10.5,5,20.610687022900763,656.25,21.50537634408602,96.77419354838709
2329,white,7.2,0.25,0.32,1.5,0.047,27.0,132.0,0.9933,3.26,0.44,10.5,5,20.454545454545453,700.0,20.13422818791946,96.64429530201342
2330,white,6.8,0.32,0.18,7.5,0.041,71.0,223.0,0.9959,3.14,0.41,8.9,5,31.838565022421523,118.66666666666667,105.33707865168539,95.50561797752809
2331,white,9.1,0.27,0.32,1.1,0.031,15.0,151.0,0.9936,3.03,0.41,10.6,5,9.933774834437086,963.6363636363635,11.739594450373534,97.11846318036287
2332,white,8.9,0.34,0.32,1.3,0.041,12.0,188.0,0.9953,3.17,0.49,9.5,5,6.382978723404255,730.7692307692307,14.069264069264069,96.32034632034632
2333,white,7.0,0.17,0.37,5.7,0.025,29.0,111.0,0.9938,3.2,0.49,10.8,6,26.126126126126128,189.4736842105263,79.4979079497908,97.62900976290098
2334,white,6.7,0.25,0.23,7.2,0.038,61.0,220.0,0.9952,3.14,0.35,9.5,5,27.727272727272727,131.94444444444443,103.59712230215827,96.40287769784173
2335,white,6.9,0.32,0.17,7.6,0.042,69.0,219.0,0.9959,3.13,0.4,8.9,5,31.506849315068493,117.10526315789474,105.26315789473684,95.56786703601107
2336,white,6.1,0.6,0.0,1.3,0.042,24.0,79.0,0.9937,3.31,0.38,9.4,4,30.37974683544304,723.0769230769231,19.40298507462687,91.044776119403
2337,white,5.3,0.395,0.07,1.3,0.035,26.0,102.0,0.992,3.5,0.35,10.6,6,25.49019607843137,815.3846153846154,22.8270412642669,93.06409130816505
2338,white,7.9,0.16,0.3,4.8,0.037,37.0,171.0,0.9967,3.47,0.44,9.0,4,21.6374269005848,187.5,59.553349875930515,98.01488833746897
2339,white,7.6,0.33,0.36,2.1,0.034,26.0,172.0,0.9944,3.42,0.48,10.5,4,15.116279069767442,500.0,26.481715006305173,95.83858764186634
2340,white,7.8,0.3,0.29,16.85,0.054,23.0,135.0,0.9998,3.16,0.38,9.0,6,17.037037037037038,53.41246290801187,208.02469135802474,96.2962962962963
2342,white,7.5,0.14,0.34,1.3,0.055,50.0,153.0,0.9945,3.29,0.8,9.6,6,32.6797385620915,738.4615384615385,17.015706806282722,98.16753926701571
2343,white,6.6,0.25,0.41,7.4,0.043,29.0,151.0,0.9946,3.15,0.6,10.2,7,19.205298013245034,137.8378378378378,108.02919708029198,96.35036496350365
2344,white,8.2,0.23,0.49,0.9,0.057,15.0,73.0,0.9928,3.07,0.38,10.4,6,20.54794520547945,1155.5555555555554,10.676156583629894,97.27164887307235
2345,white,6.0,0.24,0.32,6.3,0.03,34.0,129.0,0.9946,3.52,0.41,10.4,5,26.356589147286822,165.0793650793651,100.96153846153845,96.15384615384615
2346,white,6.1,0.45,0.27,0.8,0.039,13.0,82.0,0.9927,3.23,0.32,9.5,5,15.853658536585366,1187.5,12.213740458015268,93.12977099236642
2347,white,7.4,0.23,0.43,1.4,0.044,22.0,113.0,0.9938,3.22,0.62,10.6,6,19.469026548672566,757.1428571428572,18.348623853211006,96.98558322411533
2348,white,7.2,0.2,0.38,1.0,0.037,21.0,74.0,0.9918,3.21,0.37,11.0,5,28.37837837837838,1100.0,13.513513513513512,97.29729729729729
2349,white,7.7,0.25,0.43,4.5,0.062,20.0,115.0,0.9966,3.38,0.5,9.9,6,17.391304347826086,220.0,56.60377358490566,96.85534591194968
2350,white,8.2,0.61,0.45,5.4,0.03,15.0,118.0,0.9954,3.14,0.34,9.6,5,12.71186440677966,177.77777777777777,61.293984108967095,93.07604994324632
2351,white,7.6,0.21,0.44,1.9,0.036,10.0,119.0,0.9913,3.01,0.7,12.8,6,8.403361344537815,673.6842105263158,24.327784891165173,97.31113956466069
2352,white,7.4,0.22,0.33,2.0,0.045,31.0,101.0,0.9931,3.42,0.55,11.4,5,30.69306930693069,570.0,26.246719160104988,97.11286089238845
2353,white,7.2,0.26,0.26,12.7,0.036,49.0,214.0,0.9986,3.41,0.5,10.0,6,22.897196261682243,78.74015748031496,170.24128686327077,96.51474530831099
2354,white,6.4,0.25,0.41,8.6,0.042,57.0,173.0,0.9965,3.0,0.44,9.1,5,32.947976878612714,105.81395348837209,129.32330827067668,96.2406015037594
2355,white,6.3,0.32,0.35,11.1,0.039,29.0,198.0,0.9984,3.36,0.5,9.4,7,14.646464646464649,84.68468468468468,167.67371601208458,95.16616314199396
2356,white,6.8,0.25,0.29,2.0,0.042,19.0,189.0,0.9952,3.46,0.54,10.2,6,10.052910052910052,509.99999999999994,28.368794326241137,96.45390070921987
2357,white,9.8,0.44,0.4,2.8,0.036,35.0,167.0,0.9956,2.97,0.39,9.2,5,20.95808383233533,328.57142857142856,27.34375,95.70312500000001
2358,white,7.2,0.2,0.25,4.5,0.044,31.0,109.0,0.9949,3.23,0.36,9.4,5,28.440366972477065,208.88888888888889,60.81081081081081,97.29729729729729
2359,white,7.5,0.42,0.45,9.1,0.029,20.0,125.0,0.996,3.12,0.36,10.1,6,16.0,110.98901098901099,114.8989898989899,94.6969696969697
2360,white,6.4,0.26,0.3,2.2,0.025,33.0,134.0,0.992,3.21,0.47,10.6,6,24.62686567164179,481.81818181818176,33.033033033033036,96.09609609609609
2361,white,7.9,0.46,0.32,4.1,0.033,40.0,138.0,0.9912,3.18,0.44,12.8,7,28.98550724637681,312.19512195121956,49.043062200956925,94.49760765550238
2362,white,6.5,0.41,0.64,11.8,0.065,65.0,225.0,0.9978,3.12,0.51,8.9,5,28.88888888888889,75.42372881355932,170.767004341534,94.06657018813314
2363,white,7.5,0.32,0.37,1.2,0.048,22.0,184.0,0.9938,3.09,0.43,9.3,5,11.956521739130435,775.0000000000001,15.345268542199488,95.9079283887468
2364,white,6.6,0.21,0.38,2.2,0.026,40.0,104.0,0.9914,3.25,0.4,11.1,8,38.46153846153846,504.5454545454545,32.30543318649046,96.91629955947137
2365,white,7.1,0.21,0.3,1.4,0.037,45.0,143.0,0.9932,3.13,0.33,9.9,6,31.46853146853147,707.1428571428572,19.151846785225718,97.12722298221615
2366,white,7.6,0.26,0.47,1.6,0.068,5.0,55.0,0.9944,3.1,0.45,9.6,5,9.090909090909092,600.0,20.356234096692113,96.69211195928754
2367,white,6.9,0.25,0.26,5.2,0.024,36.0,135.0,0.9948,3.16,0.72,10.7,7,26.666666666666668,205.76923076923077,72.72727272727272,96.50349650349649
2368,white,7.1,0.26,0.32,14.45,0.074,29.0,107.0,0.998,2.96,0.42,9.2,6,27.10280373831776,63.66782006920415,196.33152173913044,96.46739130434783
2369,white,7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7,34.36293436293436,61.69491525423729,196.1436170212766,97.07446808510639
2370,white,6.2,0.37,0.22,8.3,0.025,36.0,216.0,0.9964,3.33,0.6,9.6,6,16.666666666666668,115.66265060240963,126.33181126331813,94.3683409436834
2371,white,7.9,0.22,0.45,14.2,0.038,53.0,141.0,0.9992,3.03,0.46,9.2,6,37.5886524822695,64.78873239436619,174.87684729064037,97.29064039408865
2372,white,7.4,0.25,0.37,6.9,0.02,14.0,93.0,0.9939,3.0,0.48,10.7,7,15.053763440860216,155.07246376811594,90.19607843137254,96.73202614379085
2373,white,6.8,0.18,0.37,1.5,0.027,37.0,93.0,0.992,3.3,0.45,10.8,6,39.784946236559136,720.0,21.489971346704873,97.42120343839542
2374,white,7.0,0.17,0.37,1.5,0.028,26.0,75.0,0.9922,3.3,0.46,10.8,7,34.666666666666664,720.0,20.92050209205021,97.62900976290098
2375,white,6.4,0.3,0.38,7.8,0.046,35.0,192.0,0.9955,3.1,0.37,9.0,5,18.229166666666668,115.38461538461539,116.41791044776119,95.52238805970148
2376,white,5.0,0.33,0.16,1.5,0.049,10.0,97.0,0.9917,3.48,0.44,10.7,6,10.309278350515465,713.3333333333334,28.142589118198874,93.80863039399625
2377,white,8.9,0.33,0.32,1.5,0.047,11.0,200.0,0.9954,3.19,0.46,9.4,5,5.5,626.6666666666666,16.251354279523294,96.42470205850488
2378,white,7.0,0.26,0.46,15.55,0.037,61.0,171.0,0.9986,2.94,0.35,8.8,6,35.67251461988304,56.59163987138264,214.18732782369148,96.41873278236915
2379,white,6.3,0.21,0.4,1.7,0.031,48.0,134.0,0.9917,3.42,0.49,11.5,6,35.82089552238806,676.4705882352941,26.113671274961597,96.7741935483871
2380,white,8.0,0.23,0.46,1.5,0.03,30.0,125.0,0.9907,3.23,0.47,12.5,6,24.0,833.3333333333334,18.226002430133658,97.20534629404617
2381,white,9.2,0.28,0.41,1.0,0.042,14.0,59.0,0.9922,2.96,0.25,10.5,6,23.728813559322035,1050.0,10.548523206751057,97.0464135021097
2382,white,7.3,0.27,0.39,6.7,0.064,28.0,188.0,0.9958,3.29,0.3,9.7,5,14.893617021276595,144.77611940298505,88.50726552179657,96.4332892998679
2383,white,7.6,0.32,0.36,1.6,0.04,32.0,155.0,0.993,3.23,0.52,11.3,6,20.64516129032258,706.25,20.2020202020202,95.95959595959596
2385,white,8.0,0.28,0.42,7.1,0.045,41.0,169.0,0.9959,3.17,0.43,10.6,5,24.2603550295858,149.29577464788733,85.74879227053141,96.61835748792271
2386,white,8.2,0.37,0.36,1.0,0.034,17.0,93.0,0.9906,3.04,0.32,11.7,8,18.27956989247312,1170.0,11.668611435239209,95.6826137689615
2388,white,7.2,0.26,0.44,7.1,0.027,25.0,126.0,0.993,3.02,0.34,11.1,8,19.84126984126984,156.33802816901408,95.17426273458445,96.51474530831099
2389,white,6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11.0,6,7.126436781609195,956.5217391304349,17.34539969834087,96.53092006033181
2390,white,5.9,0.4,0.32,6.0,0.034,50.0,127.0,0.992,3.51,0.58,12.5,7,39.37007874015748,208.33333333333334,95.23809523809523,93.65079365079364
2391,white,7.6,0.28,0.39,1.2,0.038,21.0,115.0,0.994,3.16,0.67,10.0,6,18.26086956521739,833.3333333333334,15.228426395939087,96.44670050761421
2392,white,7.2,0.23,0.39,2.3,0.033,29.0,102.0,0.9908,3.26,0.54,12.3,7,28.431372549019606,534.7826086956522,30.955585464333776,96.90444145356662
2393,white,6.8,0.32,0.37,3.4,0.023,19.0,87.0,0.9902,3.14,0.53,12.7,6,21.83908045977012,373.5294117647059,47.752808988764045,95.50561797752809
2394,white,6.9,0.18,0.38,6.5,0.039,20.0,110.0,0.9943,3.1,0.42,10.5,5,18.181818181818183,161.53846153846155,91.80790960451978,97.45762711864407
2395,white,9.4,0.26,0.53,1.2,0.047,25.0,109.0,0.9921,3.23,0.28,12.5,6,22.93577981651376,1041.6666666666667,12.422360248447205,97.30848861283644
2396,white,8.3,0.33,0.42,1.15,0.033,18.0,96.0,0.9911,3.2,0.32,12.4,3,18.75,1078.2608695652175,13.325608342989568,96.17612977983778
2397,white,7.3,0.29,0.3,13.0,0.043,46.0,238.0,0.9986,3.06,0.41,8.7,6,19.327731092436974,66.92307692307692,171.27799736495388,96.17918313570487
2398,white,7.9,0.41,0.37,4.5,0.03,40.0,114.0,0.992,3.17,0.54,12.4,7,35.08771929824562,275.55555555555554,54.15162454873646,95.06618531889289
2399,white,7.9,0.44,0.37,5.85,0.033,27.0,93.0,0.992,3.16,0.54,12.6,7,29.032258064516128,215.3846153846154,70.14388489208633,94.7242206235012
2400,white,7.7,0.39,0.3,5.2,0.037,29.0,131.0,0.9943,3.38,0.44,11.0,6,22.137404580152676,211.53846153846152,64.27688504326329,95.17923362175526
2401,white,7.7,0.26,0.31,1.3,0.043,47.0,155.0,0.9937,3.42,0.5,10.1,6,30.32258064516129,776.9230769230769,16.331658291457288,96.73366834170854
2402,white,7.8,0.32,0.31,1.7,0.036,46.0,195.0,0.993,3.03,0.48,10.5,5,23.58974358974359,617.6470588235294,20.935960591133007,96.05911330049263
2403,white,7.3,0.24,0.39,3.6,0.024,35.0,116.0,0.9928,3.17,0.51,10.9,5,30.17241379310345,302.77777777777777,47.745358090185675,96.81697612732096
2404,white,7.1,0.44,0.37,2.7,0.041,35.0,128.0,0.9896,3.07,0.43,13.5,7,27.34375,499.99999999999994,35.80901856763926,94.16445623342175
2405,white,10.3,0.25,0.48,2.2,0.042,28.0,164.0,0.998,3.19,0.59,9.7,5,17.073170731707318,440.9090909090908,20.85308056872038,97.6303317535545
2406,white,7.9,0.14,0.28,1.8,0.041,44.0,178.0,0.9954,3.45,0.43,9.2,6,24.719101123595507,511.11111111111103,22.388059701492534,98.25870646766168
2407,white,7.4,0.18,0.42,2.1,0.036,33.0,187.0,0.9938,3.4,0.41,10.6,7,17.647058823529413,504.76190476190476,27.70448548812665,97.62532981530343
2408,white,8.1,0.43,0.42,6.6,0.033,36.0,141.0,0.9918,2.98,0.39,13.3,7,25.53191489361702,201.51515151515153,77.37397420867526,94.95896834701055
2409,white,6.4,0.26,0.22,5.1,0.037,23.0,131.0,0.9944,3.29,0.32,10.1,5,17.557251908396946,198.03921568627453,76.57657657657657,96.09609609609609
2410,white,8.0,0.66,0.72,17.55,0.042,62.0,233.0,0.9999,2.92,0.68,9.4,4,26.60944206008584,53.56125356125356,202.65588914549653,92.37875288683603
2411,white,8.0,0.2,0.4,5.2,0.055,41.0,167.0,0.9953,3.18,0.4,10.6,7,24.550898203592816,203.84615384615384,63.41463414634147,97.5609756097561
2412,white,7.2,0.21,0.34,1.1,0.046,25.0,80.0,0.992,3.25,0.4,11.3,6,31.25,1027.2727272727273,14.844804318488531,97.16599190283401
2413,white,7.2,0.18,0.31,1.1,0.045,20.0,73.0,0.9925,3.32,0.4,10.8,7,27.3972602739726,981.8181818181818,14.905149051490516,97.5609756097561
2414,white,8.4,0.57,0.44,10.7,0.051,46.0,195.0,0.9981,3.15,0.51,10.4,5,23.58974358974359,97.19626168224299,119.28651059085841,93.64548494983276
2416,white,5.7,0.245,0.33,1.1,0.049,28.0,150.0,0.9927,3.13,0.42,9.3,5,18.666666666666668,845.4545454545455,18.50294365012616,95.87888982338099
2417,white,5.6,0.245,0.32,1.1,0.047,24.0,152.0,0.9927,3.12,0.42,9.3,6,15.789473684210526,845.4545454545455,18.819503849443972,95.80838323353294
2418,white,7.3,0.25,0.41,1.8,0.037,52.0,165.0,0.9911,3.29,0.39,12.2,7,31.51515151515152,677.7777777777777,23.841059602649008,96.68874172185431
2419,white,7.0,0.16,0.73,1.0,0.138,58.0,150.0,0.9936,3.08,0.3,9.2,5,38.66666666666666,919.9999999999999,13.966480446927374,97.76536312849161
2421,white,7.3,0.18,0.65,1.4,0.046,28.0,157.0,0.9946,3.33,0.62,9.4,6,17.8343949044586,671.4285714285714,18.716577540106954,97.59358288770053
2423,white,6.9,0.29,0.16,6.8,0.034,65.0,212.0,0.9955,3.08,0.39,9.0,6,30.660377358490567,132.35294117647058,94.57579972183588,95.96662030598053
2424,white,6.2,0.21,0.38,6.8,0.036,64.0,245.0,0.9951,3.06,0.36,9.3,6,26.12244897959184,136.76470588235296,106.08424336973479,96.72386895475819
2425,white,6.4,0.23,0.3,7.1,0.037,63.0,236.0,0.9952,3.06,0.34,9.2,6,26.694915254237287,129.57746478873239,107.08898944193061,96.53092006033181
2426,white,7.3,0.19,0.68,1.5,0.05,31.0,156.0,0.9946,3.32,0.64,9.4,6,19.871794871794872,626.6666666666666,20.026702269692922,97.46328437917222
2427,white,9.6,0.29,0.46,1.45,0.039,77.5,223.0,0.9944,2.92,0.46,9.5,6,34.75336322869955,655.1724137931035,14.661274014155715,97.06774519716888
2428,white,7.2,0.14,0.35,1.2,0.036,15.0,73.0,0.9938,3.46,0.39,9.9,5,20.54794520547945,825.0,16.348773841961854,98.09264305177112
2429,white,6.9,0.31,0.34,7.4,0.059,36.0,174.0,0.9963,3.46,0.62,11.1,7,20.689655172413797,150.0,102.63522884882109,95.7004160887656
2430,white,7.5,0.28,0.34,4.2,0.028,36.0,116.0,0.991,2.99,0.41,12.3,8,31.03448275862069,292.85714285714283,53.984575835475574,96.40102827763496
2431,white,8.0,0.22,0.42,14.6,0.044,45.0,163.0,1.0003,3.21,0.69,8.6,7,27.607361963190183,58.9041095890411,177.6155717761557,97.323600973236
2432,white,7.6,0.31,0.29,10.5,0.04,21.0,145.0,0.9966,3.04,0.35,9.4,5,14.482758620689657,89.52380952380952,132.7433628318584,96.08091024020229
2433,white,8.4,0.35,0.56,13.8,0.048,55.0,190.0,0.9993,3.07,0.58,9.4,6,28.94736842105263,68.1159420289855,157.71428571428572,96.0
2434,white,8.1,0.5,0.47,1.1,0.037,23.0,126.0,0.9938,3.21,0.42,10.9,5,18.253968253968253,990.9090909090909,12.790697674418606,94.18604651162791
2436,white,6.2,0.22,0.27,1.5,0.064,20.0,132.0,0.9938,3.22,0.46,9.2,6,15.151515151515152,613.3333333333333,23.364485981308412,96.57320872274144
2437,white,7.0,0.24,0.36,4.9,0.083,10.0,133.0,0.9942,3.33,0.37,10.8,6,7.518796992481203,220.40816326530611,67.67955801104974,96.68508287292818
2438,white,6.6,0.27,0.3,1.9,0.025,14.0,153.0,0.9928,3.29,0.62,10.5,6,9.15032679738562,552.6315789473684,27.65647743813683,96.0698689956332
2439,white,7.8,0.16,0.41,1.7,0.026,29.0,140.0,0.991,3.02,0.78,12.5,6,20.714285714285715,735.2941176470589,21.35678391959799,97.98994974874373
2440,white,7.7,0.27,0.34,1.8,0.028,26.0,168.0,0.9911,2.99,0.48,12.1,7,15.476190476190476,672.2222222222222,22.58469259723965,96.61229611041405
2441,white,7.4,0.31,0.74,10.7,0.039,51.0,147.0,0.9977,3.02,0.43,8.7,5,34.69387755102041,81.30841121495327,138.78080415045395,95.9792477302205
2442,white,8.0,0.45,0.36,8.8,0.026,50.0,151.0,0.9927,3.07,0.25,12.7,8,33.11258278145695,144.3181818181818,104.14201183431955,94.67455621301777
2443,white,6.6,0.16,0.29,1.8,0.05,40.0,147.0,0.9912,3.06,0.44,11.4,7,27.21088435374149,633.3333333333334,26.627218934911244,97.63313609467455
2444,white,8.3,0.21,0.4,1.6,0.032,35.0,110.0,0.9907,3.02,0.6,12.9,7,31.818181818181817,806.25,18.801410105757927,97.53231492361927
2445,white,7.2,0.32,0.33,1.4,0.029,29.0,109.0,0.9902,3.15,0.51,12.8,7,26.605504587155963,914.2857142857143,18.617021276595743,95.74468085106382
2446,white,6.6,0.16,0.3,1.6,0.034,15.0,78.0,0.992,3.38,0.44,11.2,6,19.23076923076923,700.0,23.668639053254438,97.63313609467455
2447,white,8.4,0.16,0.33,1.5,0.033,16.0,98.0,0.994,3.14,0.42,9.7,6,16.3265306122449,646.6666666666666,17.523364485981308,98.13084112149532
2448,white,7.5,0.23,0.32,9.2,0.038,54.0,191.0,0.9966,3.04,0.56,9.7,6,28.27225130890052,105.43478260869564,119.0168175937904,97.02457956015523
2449,white,6.2,0.17,0.3,1.1,0.037,14.0,79.0,0.993,3.5,0.54,10.3,6,17.72151898734177,936.3636363636363,17.268445839874413,97.33124018838305
2450,white,6.9,0.39,0.22,4.3,0.03,10.0,102.0,0.993,3.0,0.87,11.6,4,9.803921568627452,269.7674418604651,58.98491083676269,94.65020576131687
2451,white,6.9,0.41,0.22,4.2,0.031,10.0,102.0,0.993,3.0,0.86,11.6,4,9.803921568627452,276.1904761904762,57.45554035567715,94.39124487004104
2452,white,7.5,0.38,0.33,5.0,0.045,30.0,131.0,0.9942,3.32,0.44,10.9,6,22.900763358778622,218.0,63.45177664974619,95.17766497461929
2453,white,7.3,0.42,0.38,6.8,0.045,29.0,122.0,0.9925,3.19,0.37,12.6,7,23.770491803278688,185.29411764705884,88.08290155440415,94.55958549222798
2454,white,7.3,0.34,0.39,5.2,0.04,45.0,163.0,0.9925,3.3,0.47,12.4,6,27.607361963190183,238.46153846153845,68.06282722513089,95.54973821989529
2455,white,7.8,0.23,0.28,4.75,0.042,45.0,166.0,0.9928,2.96,0.4,11.5,5,27.10843373493976,242.10526315789474,59.15317559153176,97.13574097135742
2456,white,9.0,0.245,0.38,5.9,0.045,52.0,159.0,0.995,2.93,0.35,10.2,6,32.704402515723274,172.88135593220335,63.818280151433214,97.34991887506762
2457,white,6.9,0.2,0.4,7.7,0.032,51.0,176.0,0.9939,3.22,0.27,11.4,5,28.977272727272727,148.05194805194805,108.4507042253521,97.18309859154928
2458,white,7.4,0.19,0.42,6.4,0.067,39.0,212.0,0.9958,3.3,0.33,9.6,6,18.39622641509434,150.0,84.32147562582344,97.49670619235836
2459,white,8.2,0.2,0.36,8.1,0.035,60.0,163.0,0.9952,3.05,0.3,10.3,6,36.809815950920246,127.1604938271605,96.42857142857144,97.61904761904762
2460,white,8.0,0.59,0.71,17.35,0.038,61.0,228.0,1.0,2.95,0.75,9.3,5,26.75438596491228,53.60230547550432,201.97904540162983,93.13154831199068
2461,white,7.9,0.14,0.45,1.8,0.05,17.0,114.0,0.9948,3.33,0.49,10.7,7,14.912280701754383,594.4444444444445,22.388059701492534,98.25870646766168
2462,white,6.8,0.24,0.4,1.8,0.047,34.0,105.0,0.99,3.13,0.49,12.8,8,32.38095238095238,711.1111111111111,25.568181818181817,96.5909090909091
2463,white,9.7,0.14,0.59,1.5,0.049,23.0,142.0,0.9958,2.98,0.62,9.5,5,16.197183098591548,633.3333333333334,15.24390243902439,98.57723577235771
2464,white,9.2,0.15,0.68,1.6,0.046,22.0,130.0,0.9948,3.02,0.45,10.4,6,16.923076923076923,650.0,17.112299465240643,98.39572192513369
2465,white,9.4,0.17,0.55,1.6,0.049,14.0,94.0,0.9949,3.02,0.61,10.3,6,14.893617021276595,643.75,16.718913270637408,98.22361546499478
2466,white,5.2,0.365,0.08,13.5,0.041,37.0,142.0,0.997,3.46,0.39,9.9,6,26.056338028169016,73.33333333333333,242.5876010781671,93.44115004492362
2467,white,6.3,0.23,0.22,3.75,0.039,37.0,116.0,0.9927,3.23,0.5,10.7,6,31.89655172413793,285.3333333333333,57.42725880551301,96.47779479326186
2468,white,9.6,0.25,0.54,1.3,0.04,16.0,160.0,0.9938,2.94,0.43,10.5,5,10.0,807.6923076923076,13.197969543147208,97.46192893401016
2469,white,9.2,0.32,0.42,1.3,0.046,14.0,186.0,0.9949,3.08,0.48,9.6,5,7.526881720430108,738.4615384615385,13.65546218487395,96.63865546218487
2470,white,6.4,0.31,0.4,6.2,0.04,46.0,169.0,0.9953,3.15,0.46,9.3,6,27.2189349112426,150.0,92.39940387481371,95.38002980625932
2471,white,8.1,0.2,0.36,9.7,0.044,63.0,162.0,0.997,3.1,0.46,10.0,6,38.888888888888886,103.09278350515464,116.86746987951807,97.59036144578315
2472,white,7.9,0.255,0.26,2.0,0.026,40.0,190.0,0.9932,3.04,0.39,11.2,6,21.05263157894737,560.0,24.52483139178418,96.8730839975475
2473,white,7.0,0.15,0.34,1.4,0.039,21.0,177.0,0.9927,3.32,0.62,10.8,5,11.864406779661016,771.4285714285714,19.58041958041958,97.90209790209789
2474,white,6.4,0.15,0.31,1.1,0.044,25.0,96.0,0.9932,3.54,0.51,10.3,6,26.041666666666668,936.3636363636363,16.793893129770993,97.70992366412213
2475,white,6.4,0.25,0.53,6.6,0.038,59.0,234.0,0.9955,3.03,0.42,8.8,5,25.213675213675213,133.33333333333337,99.24812030075188,96.2406015037594
2476,white,7.6,0.19,0.42,1.5,0.044,6.0,114.0,0.9914,3.04,0.74,12.8,6,5.2631578947368425,853.3333333333334,19.255455712451862,97.5609756097561
2477,white,7.3,0.43,0.37,4.6,0.028,17.0,114.0,0.991,3.23,0.43,13.2,6,14.912280701754383,286.95652173913044,59.50840879689521,94.4372574385511
2478,white,5.1,0.31,0.3,0.9,0.037,28.0,152.0,0.992,3.54,0.56,10.1,6,18.42105263157895,1122.2222222222222,16.635859519408505,94.26987060998152
2479,white,6.2,0.2,0.26,1.7,0.093,40.0,161.0,0.9924,3.44,0.66,11.0,5,24.84472049689441,647.0588235294118,26.5625,96.875
2480,white,6.9,0.16,0.35,1.3,0.043,21.0,182.0,0.9927,3.25,0.62,10.8,6,11.538461538461538,830.7692307692307,18.413597733711047,97.73371104815864
2481,white,7.7,0.32,0.48,2.3,0.04,28.0,114.0,0.9911,3.2,0.52,12.8,7,24.56140350877193,556.5217391304349,28.678304239401495,96.00997506234414
2482,white,6.5,0.22,0.72,6.8,0.042,33.0,168.0,0.9958,3.12,0.36,9.2,6,19.642857142857142,135.2941176470588,101.19047619047619,96.72619047619048
2483,white,6.8,0.26,0.33,1.5,0.047,44.0,167.0,0.9928,3.12,0.44,10.5,6,26.34730538922156,700.0,21.246458923512748,96.3172804532578
